retreat,gender,birthYear,email,phone,phone2,streetAdress,address2,city,zipCode,country,moreThanOneRetreat,motivation,trouble,pictureFileName,incomeLevel,changementDeDate,newArrivalDay,newArrivalMonth,newArrivalYear,newDepartureDay,newDepartureMonth,newDepartureYear,premierRepas,dernierRepas,pickup,sharing,lodging,specialRequest,specialRequestText,bringBlanket,skipDinner,needTablet,description
05/07/2025 au 11/07/2025 - Grand Sceau,F,1974,iten74@yahoo.com,0404040404,0405050505,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05500,France,0,,,../data/image001.jpg,Tranche1,0,,,,,,,,,0,0,0,false,,0,false,true,no change of date and default everywhere
05/07/2025 au 11/07/2025 - Grand Sceau,M,1947,iten74@yahoo.com,0404040405,0405050506,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05501,France,1,I want to,I don't think so,../data/image001.jpg,Tranche1,1,1,7,2025,11,7,2025,2,1,1,1,0,false,,1,false,false,arrive earlier and leave on time
05/07/2025 au 11/07/2025 - Grand Sceau,M,1947,iten74@yahoo.com,0404040406,0405050507,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05502,France,1,I want to,I don't think so,../data/image001.jpg,Tranche1,1,5,7,2025,13,7,2025,2,1,1,1,0,false,,1,false,false,arrive on time and leave later
05/07/2025 au 11/07/2025 - Grand Sceau,M,1947,iten74@yahoo.com,0404040407,0405050508,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05503,France,1,I want to,I don't think so,../data/image001.jpg,Tranche1,1,1,7,2025,13,7,2025,2,1,1,1,0,false,,1,false,false,arrive earlier and leave later
05/07/2025 au 11/07/2025 - Grand Sceau,M,1947,iten74@yahoo.com,0404040408,0405050509,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05504,France,1,I want to,I don't think so,../data/image001.jpg,Tranche1,1,30,6,2025,15,7,2025,2,1,1,1,0,false,,1,false,false,arrive prior to first and leave later
05/07/2025 au 11/07/2025 - Grand Sceau,F,1974,iten74@yahoo.com,0404040409,0405050510,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05505,France,0,,,../data/image001.jpg,Tranche1,1,1,7,2025,13,7,2025,1,3,0,0,0,false,,0,false,true,Different combination of first and last meals
05/07/2025 au 11/07/2025 - Grand Sceau,F,1974,iten74@yahoo.com,0404040410,,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05506,France,0,,,../data/image001.jpg,Tranche1,1,1,7,2025,13,7,2025,2,2,0,0,0,false,,0,false,true,Different combination of first and last meals
05/07/2025 au 11/07/2025 - Grand Sceau,F,1974,iten74@yahoo.com,0404040411,,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05507,France,0,,,../data/image001.jpg,Tranche1,1,1,7,2025,13,7,2025,3,1,0,0,0,false,,0,false,true,Different combination of first and last meals
05/07/2025 au 11/07/2025 - Grand Sceau,F,1974,iten74@yahoo.com,0404040412,,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05508,France,0,,,../data/image001.jpg,Tranche1,1,1,7,2025,13,7,2025,2,0,0,0,0,false,,0,false,true,Different combination of first and last meals
05/07/2025 au 11/07/2025 - Grand Sceau,F,1974,iten74@yahoo.com,0404040413,,387 route des Blancs,Chantaussel,Saint-Julien-en-Champsaur,05509,France,0,,,../data/image001.jpg,Tranche1,1,1,7,2025,13,7,2025,0,3,0,0,0,false,,0,false,true,Different combination of first and last meals
